obs_id,obs_ts,lat,lon,geom_wkt,metric,category
OBS-00239,2024-05-19T18:45:03-06:00,36.36979,-68.85355,POINT(-68.85355 36.36979),98.0145,bravo
OBS-00240,2024-01-11T08:22:36-04:00,44.20082,-117.88423,POINT(-117.88423 44.20082),73.777,alpha
OBS-00241,2024-09-21T20:07:49-08:00,38.74713,-113.94487,POINT(-113.94487 38.74713),5.4362,echo
OBS-00242,2024-03-08T09:28:07+00:00,40.7834,-95.02045,POINT(-95.02045 40.7834),43.3641,charlie
OBS-00243,2024-04-16T19:15:43+01:00,30.09798,-103.21888,POINT(-103.21888 30.09798),77.119,echo
OBS-00244,2024-02-01T04:13:39+01:00,36.84887,-77.749,POINT(-77.749 36.84887),28.7775,echo
OBS-00245,2024-03-06T06:29:24-04:00,26.80621,-120.57804,POINT(-120.57804 26.80621),95.4209,delta
OBS-00246,2024-06-11T04:45:49-08:00,42.35971,-96.30116,POINT(-96.30116 42.35971),44.3784,bravo
OBS-00247,2024-10-03T02:50:01-07:00,24.4988,-110.04311,POINT(-110.04311 24.4988),98.8971,echo
OBS-00248,2024-11-17T13:32:46-04:00,38.35268,-88.28955,POINT(-88.28955 38.35268),19.4274,charlie
OBS-00249,2024-04-19T19:12:12-07:00,42.71307,-88.22763,POINT(-88.22763 42.71307),89.8343,charlie
OBS-00250,2024-02-06T22:32:56-06:00,33.19951,-91.73932,POINT(-91.73932 33.19951),30.3353,alpha
OBS-00251,2024-07-08T13:19:28-06:00,34.47954,-86.80401,POINT(-86.80401 34.47954),12.4889,charlie
OBS-00252,2024-02-09T09:08:57-04:00,37.49981,-82.6342,POINT(-82.6342 37.49981),27.5639,delta
OBS-00253,2024-02-19T15:00:25-04:00,36.56589,-103.84543,POINT(-103.84543 36.56589),18.8913,echo
OBS-00254,2024-07-01T05:15:57-07:00,36.40811,-90.90766,POINT(-90.90766 36.40811),60.4234,alpha
OBS-00255,2024-08-19T20:14:45-07:00,36.57882,-82.84615,POINT(-82.84615 36.57882),34.38,echo
OBS-00256,2024-02-26T02:09:54+00:00,32.59471,-67.5381,POINT(-67.5381 32.59471),90.2752,echo
OBS-00257,2024-02-01T02:16:44-06:00,42.59311,-112.81444,POINT(-112.81444 42.59311),48.5332,charlie
OBS-00258,2024-08-04T04:14:35-06:00,34.45327,-76.69914,POINT(-76.69914 34.45327),44.2742,echo
OBS-00259,2024-09-15T10:31:50-06:00,24.17526,-82.18426,POINT(-82.18426 24.17526),58.4187,alpha
OBS-00260,2024-09-26T14:36:33+00:00,45.69703,-67.35449,POINT(-67.35449 45.69703),31.4368,charlie
OBS-00261,2024-12-10T06:43:50-05:00,46.687,-70.05162,POINT(-70.05162 46.687),12.8546,bravo
OBS-00262,2024-10-27T09:45:07-08:00,35.33497,-113.81579,POINT(-113.81579 35.33497),75.9653,charlie
OBS-00263,2024-02-05T17:51:02-06:00,41.53172,-80.68019,POINT(-80.68019 41.53172),62.5472,echo
OBS-00264,2024-07-28T22:32:26+01:00,48.9504,-77.145,POINT(-77.145 48.9504),9.0243,delta
OBS-00265,2024-06-09T16:47:52+01:00,30.8621,-103.4757,POINT(-103.4757 30.8621),44.8565,charlie
OBS-00266,2024-12-01T20:19:24+01:00,34.03279,-113.96188,POINT(-113.96188 34.03279),93.1864,echo
OBS-00267,2024-02-09T13:27:54-07:00,30.02949,-110.66253,POINT(-110.66253 30.02949),51.0974,echo
OBS-00268,2024-11-19T08:34:03-08:00,32.36005,-99.96218,POINT(-99.96218 32.36005),62.1464,echo
OBS-00269,2024-10-21T05:54:18-07:00,48.71751,-94.88459,POINT(-94.88459 48.71751),99.1275,delta
OBS-00270,2024-09-03T06:42:56-06:00,27.39178,-93.61363,POINT(-93.61363 27.39178),24.2685,echo
OBS-00271,2024-05-04T02:42:07+00:00,27.92312,-101.58893,POINT(-101.58893 27.92312),74.3027,echo
OBS-00272,2024-02-26T11:50:43-06:00,26.97253,-119.93744,POINT(-119.93744 26.97253),54.3572,charlie
OBS-00273,2024-05-01T23:35:48+00:00,37.03455,-92.53104,POINT(-92.53104 37.03455),30.13,alpha
OBS-00274,2024-03-01T11:18:20-05:00,33.90633,-94.57673,POINT(-94.57673 33.90633),87.6685,delta
OBS-00275,2024-03-11T13:44:36-07:00,25.86267,-108.22385,POINT(-108.22385 25.86267),54.9475,delta
OBS-00276,2024-09-03T02:51:59+01:00,27.16023,-82.30639,POINT(-82.30639 27.16023),66.2157,echo
OBS-00277,2024-01-22T07:07:58-04:00,46.90556,-80.20449,POINT(-80.20449 46.90556),64.3305,alpha
OBS-00278,2024-01-24T08:41:02+01:00,29.28226,-117.44749,POINT(-117.44749 29.28226),40.5469,alpha
OBS-00279,2024-04-28T00:24:32-05:00,43.84535,-89.71459,POINT(-89.71459 43.84535),25.948,delta
OBS-00280,2024-06-02T03:47:10-06:00,35.68762,-108.76386,POINT(-108.76386 35.68762),5.4695,alpha
OBS-00281,2024-01-18T22:04:12+00:00,26.64214,-124.16019,POINT(-124.16019 26.64214),7.8445,alpha
OBS-00282,2024-07-12T13:25:10-05:00,47.39993,-93.30286,POINT(-93.30286 47.39993),35.8097,echo
OBS-00283,2024-06-18T09:40:04+01:00,29.33233,-87.76434,POINT(-87.76434 29.33233),1.5377,delta
OBS-00284,2024-08-04T06:17:42-07:00,46.07607,-115.30005,POINT(-115.30005 46.07607),37.9224,charlie
OBS-00285,2024-03-14T11:44:08-05:00,29.50885,-114.61542,POINT(-114.61542 29.50885),2.2312,charlie
OBS-00286,2024-07-24T07:35:56+00:00,24.6759,-85.91016,POINT(-85.91016 24.6759),18.1401,charlie
OBS-00287,2024-04-18T05:29:36-06:00,39.75375,-111.38895,POINT(-111.38895 39.75375),22.9533,bravo
OBS-00288,2024-03-03T20:20:18-08:00,44.64856,-67.2463,POINT(-67.2463 44.64856),8.4994,delta
OBS-00289,2024-02-02T07:36:50-07:00,38.65084,-124.40304,POINT(-124.40304 38.65084),14.577,delta
OBS-00290,2024-02-24T08:47:54-05:00,42.45837,-70.78323,POINT(-70.78323 42.45837),31.518,bravo
OBS-00291,2024-07-05T01:38:04-06:00,24.80328,-96.06636,POINT(-96.06636 24.80328),13.9805,bravo
OBS-00292,2024-08-01T04:29:55-06:00,29.80019,-124.207,POINT(-124.207 29.80019),85.0124,echo
OBS-00293,2024-03-23T11:28:31-06:00,42.71794,-98.24282,POINT(-98.24282 42.71794),29.0237,echo
OBS-00294,2024-03-03T06:00:01+01:00,39.9535,-103.42428,POINT(-103.42428 39.9535),86.5426,delta
OBS-00295,2024-06-17T07:00:07-04:00,41.47462,-80.36908,POINT(-80.36908 41.47462),22.9669,echo
OBS-00296,2024-10-25T10:11:42-05:00,39.89326,-74.07731,POINT(-74.07731 39.89326),38.318,bravo
OBS-00297,2024-11-21T02:50:57-06:00,31.66268,-87.66231,POINT(-87.66231 31.66268),66.6402,echo
OBS-00298,2024-04-10T22:31:19-04:00,42.69942,-123.14504,POINT(-123.14504 42.69942),80.2866,alpha
OBS-00299,2024-01-02T10:03:51-07:00,43.88305,-111.73566,POINT(-111.73566 43.88305),68.0305,echo
OBS-00300,2024-11-17T01:14:07-08:00,45.22379,-121.47172,POINT(-121.47172 45.22379),81.0824,alpha
